fecha_hora,codigo,nombre,cantidad,precio_unitario,total
2026-01-18T18:03:22.208087,1234,PRODUCTO 1,2,10.0,20.0
2026-01-18T18:03:43.493298,9876,PRODUCTO 3,1,30.0,30.0
2026-01-18T18:03:43.493298,1234,PRODUCTO 1,1,10.0,10.0
2026-01-18T18:10:36.918365,1234,PRODUCTO 1,2,10.0,20.0
2026-01-18T18:10:46.923905,1234,PRODUCTO 1,1,10.0,10.0
2026-01-18T18:10:46.923905,5678,PRODUCTO 2,1,20.0,20.0
2026-01-18T18:14:10.449700,1234,PRODUCTO 1,1,10.0,10.0
2026-01-18T18:24:48.106295,1234,PRODUCTO 1,1,10.0,10.0
2026-01-18T19:01:14.807578,1234,PRODUCTO 1,1,10.0,10.0
2026-01-18T19:01:14.807578,9876,PRODUCTO 3,1,30.0,30.0
2026-01-18T19:01:14.807578,5678,PRODUCTO 2,1,20.0,20.0
